360,2015-01-01,6
360,2015-03-01,2
360,2015-04-01,4
360,2015-05-01,6
360,2015-06-01,4
360,2015-07-01,1
360,2015-08-01,3
360,2015-09-01,28
360,2015-10-01,9
360,2015-11-01,6
360,2015-12-01,4
360,2016-01-01,12
360,2016-03-01,3
360,2016-04-01,2
360,2016-05-01,2
360,2016-06-01,5
360,2016-07-01,2
360,2016-09-01,2
360,2016-10-01,5
360,2016-11-01,2
360,2016-12-01,9
360,2017-01-01,3
360,2017-02-01,18
360,2017-03-01,17
360,2017-04-01,5
360,2017-05-01,23
360,2017-06-01,21
360,2017-07-01,179
360,2017-08-01,62
360,2017-09-01,37
360,2017-10-01,10
360,2017-11-01,39
360,2017-12-01,13
360,2018-01-01,28
360,2018-02-01,29
360,2018-03-01,8
360,2018-04-01,5
360,2018-05-01,17
360,2018-06-01,9
360,2018-07-01,8
360,2018-08-01,38
360,2018-09-01,20
360,2018-10-01,19
360,2018-11-01,112
360,2018-12-01,120
360,2019-01-01,97
360,2019-02-01,117
360,2019-03-01,92
360,2019-04-01,32
360,2019-05-01,28
360,2019-06-01,22
360,2019-07-01,23
360,2019-08-01,16
360,2019-09-01,91
360,2019-10-01,99
360,2019-11-01,71
360,2019-12-01,53
360,2020-01-01,65
360,2020-02-01,13
360,2020-03-01,21
360,2020-04-01,26
360,2020-05-01,19
360,2020-06-01,33
360,2020-07-01,38
360,2020-08-01,9
360,2020-09-01,48
360,2020-10-01,18
360,2020-11-01,28
360,2020-12-01,19
360,2021-01-01,10
360,2021-02-01,3
360,2021-03-01,8
360,2021-04-01,3
360,2021-05-01,8
360,2021-06-01,13
360,2021-07-01,34
360,2021-08-01,10
360,2021-09-01,7
360,2021-11-01,1
360,2021-12-01,17
360,2022-01-01,14
360,2022-02-01,6
360,2022-03-01,5
360,2022-04-01,6
360,2022-05-01,5
360,2022-06-01,5
360,2022-07-01,7
360,2022-08-01,2
360,2022-09-01,14
360,2022-10-01,10
360,2022-11-01,4
360,2022-12-01,5
360,2023-01-01,4
360,2023-05-01,1
360,2023-08-01,1
360,2023-10-01,1
360,2023-12-01,3
360,2024-02-01,1
360,2024-04-01,4
360,2024-06-01,2
360,2024-07-01,2
360,2024-09-01,1
API7,2020-08-01,137
API7,2020-09-01,162
API7,2020-10-01,240
API7,2020-11-01,282
API7,2020-12-01,258
API7,2021-01-01,312
API7,2021-02-01,251
API7,2021-03-01,265
API7,2021-04-01,211
API7,2021-05-01,181
API7,2021-06-01,157
API7,2021-07-01,223
API7,2021-08-01,188
API7,2021-09-01,184
API7,2021-10-01,22
API7,2021-11-01,226
API7,2021-12-01,226
API7,2022-01-01,226
API7,2022-02-01,208
API7,2022-03-01,273
API7,2022-04-01,193
API7,2022-05-01,198
API7,2022-06-01,163
