Cloudera,cloudera/python-sasl,2024-06,2.02,0.52
Cloudera,cloudera/flink-tutorials,2024-06,2.02,0.33
Cloudera,cloudera/cdpcurl,2024-07,2.02,0.67
Cloudera,cloudera/Applied-ML-Prototypes,2024-07,2.02,0.33
Cloudera,cloudera/Applied-ML-Prototypes,2024-08,6.75,0.71
Cloudera,cloudera/Applied-ML-Prototypes,2024-09,7.41,1.08
Cloudera,cloudera/Applied-ML-Prototypes,2024-10,2.02,0.73
Cloudera,cloudera/cloudera-airflow-plugins,2024-09,4.92,0.62
Cloudera,cloudera/flink-kerberos-auth-handler,2024-07,3.49,0.61
Cloudera,cloudera/flink-kerberos-auth-handler,2024-08,2.02,0.54
Cloudera,cloudera/community-ml-runtimes,2024-06,4.05,2.69
Cloudera,cloudera/community-ml-runtimes,2024-09,2.26,1.37
Cloudera,cloudera/dbt-impala,2024-06,2.02,1.31
Cloudera,cloudera/dbt-impala,2024-07,3.67,1.14
Cloudera,cloudera/dbt-impala,2024-09,7.32,1.76
Cloudera,cloudera/dbt-impala,2024-10,7.24,2.39
Cloudera,cloudera/dbt-hive,2024-07,1.45,1.28
Cloudera,cloudera/dbt-hive,2024-09,2.48,1.09
Cloudera,cloudera/dbt-hive,2024-10,1.45,0.74
Cloudera,cloudera/dbt-hive-example,2024-06,2.02,0.41
Cloudera,cloudera/cybersec,2024-06,2.02,3.91
Cloudera,cloudera/cybersec,2024-07,4.87,4.69
Cloudera,cloudera/cybersec,2024-08,2.02,3.5
Cloudera,cloudera/cybersec,2024-09,4.03,5.12
Cloudera,cloudera/cybersec,2024-10,5.21,3.83
Cloudera,cloudera/cmlextensions,2024-09,2.47,0.33
Cloudera,cloudera/terraform-provider-cdp,2024-06,18.45,8.37
Cloudera,cloudera/terraform-provider-cdp,2024-07,25.87,9.51
Cloudera,cloudera/terraform-provider-cdp,2024-08,19.16,8.48
Cloudera,cloudera/terraform-provider-cdp,2024-09,9.74,7.34
Cloudera,cloudera/terraform-provider-cdp,2024-10,16.61,7.99
